	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
554	CoFeMnTiVZr	Ti16.666666666666668V16.666666666666668Mn16.666666666666668Fe16.666666666666668Co16.666666666666668Zr16.666666666666668	1.72831	0.75589	6.16667	0.31634	1.62667	0.11417	0.09285	0.02107	0.11896	0.0149	1.50996	-18.66667	3.45E+23	4.02E+23	0	4.02E+23	IM	3
555	FeCoCrNiCuAlMo0.2	Al16.633333333333333Cr16.633333333333333Fe16.633333333333333Co16.633333333333333Ni16.633333333333333Cu16.633333333333333Mo0.2	5.35459	0.85426	7.82967	0.34107	1.79906	0.06673	0.05291	0.01296	0.24258	0.01499	5.14158	-4.75869	2.80E+23	2.87E+23	1.42E+23	2.49E+23	BCC+FCC	5
556	CoFeNiPd	Fe25.0Co25.0Ni25.0Pd25.0	5.97457	0.89376	9.25	0.08964	1.955	0.07382	0.04393	0.00949	0.02182	0.01153	10.28332	-2	3.80E+22	4.76E+22	0	4.76E+22	FCC	1
557	CoFeMnTiV2Zr	Ti19.6V2.0Mn19.6Fe19.6Co19.6Zr19.6	1.43955	0.75649	6.372	0.32138	1.62608	0.12385	0.09837	0.02085	0.11134	0.01393	1.16785	-21.952	3.87E+23	4.71E+23	0	4.71E+23	IM	3
558	AlCoCrFeNb0.75Ni	Al19.85Cr19.85Fe19.85Co19.85Ni19.85Nb0.75	3.99817	0.85434	7.1835	0.34522	1.77667	0.06816	0.05843	0.01414	0.2466	0.01365	1.81756	-12.70757	2.43E+23	2.97E+23	0	2.97E+23	BCC+IM	8
560	Ni18.5Fe18.5Cr18.5Co26Mn18.5	Cr18.5Mn18.5Fe18.5Co26.0Ni18.5	13.17541	0.91175	8.075	0.17157	1.77455	0.07687	0.03176	0.00762	0.1147	0.01329	5.81005	-4.1144	8.51E+22	1.00E+23	1.49E+22	9.91E+22	FCC	1
561	Al0.7Cr0.5Fe3.6Mn3.1Ni	Al0.7Cr0.5Mn3.1Fe3.6Ni92.1	8.45554	0.85287	9.766	0.09108	1.89261	0.03694	0.01893	0.00184	0.0486	0.00303	2.73965	-1.90362	8.29E+22	9.80E+22	1.05E+21	9.80E+22	FCC	1
562	Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.8	C0.8Cr19.96Mn19.96Fe19.96Co19.96Ni19.96	5.94184	0.57851	8.016	0.18187	1.78287	0.08707	0.048	0.00959	0.18443	0.01369	4.33902	-5.79127	1.99E+23	2.11E+23	1.58E+22	2.11E+23	FCC	1
563	CoFeMnTiVZr0.4	Ti19.919999999999998V19.919999999999998Mn19.919999999999998Fe19.919999999999998Co19.919999999999998Zr0.4	3.53719	0.75301	6.5896	0.282	1.68458	0.08538	0.06187	0.01338	0.11809	0.01354	1.85859	-13.44488	2.49E+23	2.99E+23	0	2.99E+23	IM	3
564	AlCu0.5Li0.5MgSn0.2	Li0.5Mg49.4Al49.4Cu0.5Sn0.2	1.97835	0.77878	2.538	0.31088	1.4608	0.10791	0.05661	0.00075	0.05318	0.00634	2.86448	-2.05203	2.62E+22	8.34E+22	9.97E+21	8.28E+22	IM	3
566	Pd40Ni40P20	P20.0Ni40.0Pd40.0	1.04226	0.7593	9	0.22222	2.082	0.06748	0.09173	0.0159	0.39438	0.00877	0.57355	-22.72	5.09E+23	6.92E+23	0	6.92E+23	AM	4
567	CoCrFeMnNiMo4	Cr19.2Mn19.2Fe19.2Co19.2Ni19.2Mo4.0	11.44071	0.90227	7.92	0.18182	1.78176	0.08756	0.03528	0.00876	0.16272	0.01424	6.39185	-4.11034	9.01E+22	1.03E+23	2.29E+22	1.00E+23	FCC	1
568	Al2CoCrFeNiTi	Al2.0Ti19.6Cr19.6Fe19.6Co19.6Ni19.6	3.02499	0.83493	7.312	0.30356	1.76092	0.08049	0.06786	0.01658	0.11242	0.01393	1.51909	-17.11629	3.30E+23	3.89E+23	0	3.89E+23	BCC	0
571	CoCrFeNiTi0.5	Ti0.5Cr24.875Fe24.875Co24.875Ni24.875	73.53453	0.83278	8.22875	0.18295	1.8186	0.05414	0.01263	0.00108	0.09614	0.01173	5.29734	-4.14542	8.81E+22	1.05E+23	0	1.05E+23	FCC+IM	9
573	Al17Co28.6Cr14.3Fe14.3Ni25.8	Al17.0Cr14.3Fe14.3Co28.6Ni25.8	4.40269	0.85408	7.666	0.32028	1.80323	0.06564	0.05436	0.01291	0.21922	0.01301	1.84934	-11.82478	2.42E+23	2.95E+23	0	2.95E+23	FCC+IM	9
575	Al0.5CoCrFeNiTi	Al0.5Ti19.9Cr19.9Fe19.9Co19.9Ni19.9	3.01167	0.83482	7.378	0.29425	1.76323	0.08029	0.06715	0.01619	0.09387	0.01358	1.5458	-16.52337	3.24E+23	3.81E+23	0	3.81E+23	BCC+IM	8
576	AlCoCrFeNb0.25Ni	Al19.95Cr19.95Fe19.95Co19.95Ni19.95Nb0.25	4.00044	0.85431	7.1945	0.34488	1.77755	0.06793	0.05807	0.01396	0.24395	0.01349	1.82765	-12.45	2.39E+23	2.92E+23	0	2.92E+23	BCC+IM	8
577	Al0.25NbTaTiZr	Al0.25Ti24.9375Zr24.9375Nb24.9375Ta24.9375	4.97509	0.88259	4.49625	0.11231	1.49279	0.06725	0.04837	0.01032	0.21314	0.01164	13.28569	2.21071	5.33E+22	5.78E+22	3.92E+22	4.25E+22	BCC+IM	8
578	Al0.5CoCrFeMnNi	Al0.5Cr19.9Mn19.9Fe19.9Co19.9Ni19.9	11.77509	0.85363	7.975	0.18233	1.76522	0.07843	0.03396	0.00813	0.12376	0.01358	5.49472	-4.44088	9.84E+22	1.13E+23	1.60E+22	1.12E+23	FCC	1
579	CuNi2FeCrAl1.8	Al1.8Cr32.06666666666667Fe32.06666666666667Ni2.0Cu32.06666666666667	20.35388	0.85323	8.27067	0.26004	1.79557	0.05748	0.02255	0.00293	0.19736	0.01035	1.9866	9.20352	1.88E+23	2.40E+23	2.33E+23	5.65E+22	BCC	0
580	Fe73.03Mn25Al1.6Si0.24Nb0.05C0.08	C0.08Al1.6Si0.24Mn25.0Fe73.03Nb0.05	3.05992	0.54154	7.6557	0.10009	1.75711	0.07089	0.04255	0.00487	0.10656	0.00554	6.96829	-1.3726	1.20E+23	1.24E+23	0	1.24E+23	IM	3
583	Al80Mg14Zn2.7Cu2.7Si0.60	Mg14.0Al80.0Si0.6Cu2.7Zn2.7	2.44004	0.70869	3.325	0.59814	1.57865	0.07611	0.04812	0.00797	0.10506	0.00565	3.60601	-1.47506	1.16E+23	1.33E+23	1.15E+22	1.33E+23	IM	3
